STATION_ID,PIMS_NUMBER,SAMPLE_NUMBER,SAMPLE_DESCRIPTION,ALUMINUM_UG_G_DRY,ANTIMONY_UG_G_DRY,ARSENIC_UG_G_DRY,BARIUM_UG_G_DRY,BERYLLIUM_UG_G_DRY,CADMIUM_UG_G_DRY,CALCIUM_UG_G_DRY,CHROMIUM_+6_REACTIVE_UG_G_DRY,CHROMIUM_UG_G_DRY,COBALT_UG_G_DRY,COPPER_UG_G_DRY,IRON_UG_G_DRY,LEAD_UG_G_DRY,MAGNESIUM_UG_G_DRY,MANGANESE_UG_G_DRY,MERCURY_UG_G_DRY,MOLYBDENUM_UG_G_DRY,NICKEL_UG_G_DRY,NITRITE_NITRATE_UG_G_DRY,NITROGEN_TOTAL_%,PHOSPHORUS_MG_G_DRY,POTASSIUM_UG_G_DRY,SELENIUM_UG_G_DRY,SILVER_UG_G_DRY,SODIUM_ADSORPTION_RATIO_SAR_MEQ_L,SODIUM_UG_G_DRY,STRONTIUM_UG_G_DRY,SULFUR__%,THALLIUM_UG_G_DRY,TITANIUM_UG_G_DRY,URANIUM_UG_G_DRY,VANADIUM_UG_G_DRY,ZINC_UG_G_DRY,CONDUCTIVITY_MS_CM,PH_IN_DISTILLED_WATER_SOLUTION,SAMPLE_DATE
1008026,8580,5977,SOIL 0-5 CM,23900,0.05,5.9,110.0,0.9,0.370000,17150.00,0.5,34.0,20.1,26.0,27100,24,11090,1002,0.06,0.05,19.6,6.0,0.26,0.70,5620,0.40,0.05,0.134,129,26,0.018,0.5,3200,1.2,41,71,0.27,6.80,13/08/1991
1008026,8580,5978,SOIL 0-5 CM,23500,0.05,5.3,106.0,0.8,0.330000,20500.00,0.5,32.0,9.4,24.0,25500,20,12200,863,0.06,0.05,18.8,0.3,0.23,0.62,5440,0.40,0.04,0.111,130,28,0.022,0.5,4160,1.1,39,65,0.26,6.90,13/08/1991
1008027,8581,5981,SOIL 0-5 CM,21800,0.30,3.2,85.7,0.8,0.360000,10520.00,0.5,32.0,9.0,21.0,23800,42,6200,389,0.07,0.05,18.4,0.5,0.31,0.77,3820,0.40,0.02,0.077,146,23,0.048,0.5,840,0.9,40,76,0.29,7.00,13/08/1991
2008001,8603,8238,SOIL 0-5 CM,22400,0.15,2.4,90.1,1.0,0.380000,19830.00,0.5,26.0,11.3,41.0,33700,33,9610,1220,0.00,0.05,22.3,5.0,0.18,0.92,6930,0.30,0.06,0.097,236,33,0.023,0.5,2960,1.8,38,81,0.18,5.60,26/06/1991
2008001,8603,8239,SOIL 0-5 CM,13040,0.05,2.6,55.3,0.5,0.250000,3070.00,0.5,15.0,5.4,8.0,17550,15,2370,599,0.04,0.05,7.8,5.0,0.19,0.78,1084,0.40,0.07,0.076,122,11,0.044,0.6,3430,1.7,30,52,0.24,6.00,26/06/1991
2008001,8603,8240,SOIL 0-5 CM,12660,0.30,2.6,53.9,0.5,0.220000,3370.00,0.5,15.0,5.4,7.0,17470,14,2580,548,0.04,0.05,7.9,10.0,0.18,0.78,1237,0.40,0.07,0.070,129,11,0.032,0.5,3560,1.7,32,49,0.13,6.00,26/06/1991
2008002,8604,8241,SOIL 0-5 CM,12540,0.05,2.0,53.8,0.5,0.170000,62700.00,0.5,21.0,6.5,13.0,15990,17,31200,596,0.05,0.05,11.8,29.0,0.28,0.85,3110,0.30,0.13,0.411,258,44,0.038,0.5,2370,1.4,34,62,0.38,7.20,26/06/1991
2008002,8604,8242,SOIL 0-5 CM,12390,0.08,3.0,54.6,0.5,0.210000,57800.00,0.5,18.0,6.1,17.0,15330,17,31500,564,0.04,0.05,11.1,16.0,0.31,0.85,3120,0.50,0.10,0.301,281,41,0.040,0.5,2320,0.7,33,61,0.37,7.45,26/06/1991
2008002,8604,8243,SOIL 0-5 CM,13580,0.08,3.0,57.6,0.5,0.210000,58500.00,0.5,20.0,6.4,17.0,16890,16,31500,598,0.04,0.05,11.8,16.0,0.33,0.90,3410,0.50,0.11,0.258,281,42,0.035,0.5,2280,0.7,34,63,0.38,7.35,26/06/1991
2008003,8605,8244,SOIL 0-5 CM,14010,0.12,3.0,54.2,0.5,0.180000,32600.00,0.5,25.0,7.1,10.0,18440,19,16120,469,0.06,0.05,11.3,6.1,0.22,0.90,2140,0.40,0.11,0.156,249,32,0.029,0.5,3040,1.8,40,50,0.28,7.25,26/06/1991
2008003,8605,8245,SOIL 0-5 CM,14140,0.30,3.6,51.4,0.4,0.260000,28200.00,0.5,18.0,5.3,10.0,19020,17,15460,369,0.06,0.05,9.1,6.0,0.25,0.88,2220,0.50,0.12,0.042,247,26,0.032,0.5,2770,2.0,34,43,0.26,6.80,26/06/1991
