Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
17200,0.09,2.8,64.0,0.1,0.36,8140.0,0.5,20.0,3.7,8.0,23200,17,3870,576,0.07,0.6,10.2,9.7,360000.0,1.23,2140,0.5,0.14,0.083,304,30,53000.0,0.5,3580,2.1,43,70
15090,0.18,2.6,63.0,0.7,0.29,8870.0,0.5,24.0,6.9,16.0,20300,18,3880,590,0.08,0.2,12.4,3.6,330000.0,1.3,2210,0.6,0.1,0.104,359,34,51000.0,0.5,3560,2.1,37,37
16190,0.3,2.6,69.8,0.8,0.26,8830.0,0.5,22.0,6.4,16.0,21500,21,3820,565,0.08,0.2,12.2,6.3,380000.0,1.3,2430,0.6,0.1,0.089,336,37,63000.0,0.5,3630,2.2,38,65
24300,0.2,5.3,105.0,1.0,0.19,8290.0,0.5,39.0,9.8,23.0,25500,26,5980,1072,0.07,0.1,19.2,11.9,360000.0,2.29,6280,0.4,0.13,0.061,218,41,47000.0,0.5,3180,1.8,41,73
23900,0.08,5.1,113.0,0.9,0.17,8070.0,0.5,34.0,9.7,21.0,24800,25,5960,1070,0.06,0.05,19.4,13.4,360000.0,2.28,6160,0.4,0.13,0.059,232,36,54000.0,0.5,3330,1.7,39,77
18100,0.5,2.3,71.7,0.5,0.25,5510.0,0.5,28.0,8.2,16.0,20000,19,4380,337,0.06,0.05,15.4,9.3,270000.0,0.76,1325,0.3,0.13,0.171,201,23,45000.0,0.5,2580,1.5,35,64
17210,0.05,5.0,70.1,0.5,0.18,6170.0,0.5,31.0,8.0,13.0,19200,21,4150,371,0.07,0.1,13.8,11.0,260000.0,0.79,1467,0.4,0.1,0.237,226,27,59000.0,0.5,2450,1.8,36,60
17370,0.1,5.4,68.8,0.5,0.19,6430.0,0.5,31.0,8.0,15.0,19630,21,4200,378,0.05,0.05,13.7,15.0,280000.0,0.83,1507,0.4,0.09,0.13,226,27,53000.0,0.5,2410,1.7,36,59
18530,0.6,2.8,76.1,0.7,0.21,12460.0,0.5,24.0,7.6,19.0,23600,23,6350,403,0.08,0.05,15.6,16.0,240000.0,0.76,3040,0.3,0.14,0.082,190,26,45000.0,0.5,3640,1.4,43,65
16770,0.05,3.5,72.7,0.6,0.18,12440.0,0.5,25.0,7.6,16.0,22200,24,6900,408,0.09,0.05,15.9,5.9,220000.0,0.87,3340,0.4,0.06,0.174,181,29,32000.0,0.5,3470,0.8,39,60
16590,0.08,3.2,70.8,0.6,0.2,10940.0,0.5,24.0,7.4,16.0,21900,22,6290,390,0.07,0.05,15.3,7.5,230000.0,0.82,2950,0.4,0.07,0.185,171,27,37000.0,0.5,3580,1.8,38,60
23700,0.05,3.1,101.0,0.9,0.26,14490.0,0.5,32.0,10.9,31.0,29700,36,8800,935,0.12,0.05,23.2,12.0,440000.0,1.94,7080,0.3,0.17,0.066,147,27,68000.0,0.5,3470,1.6,40,68
31200,0.05,3.7,109.0,1.0,0.25,12520.0,0.5,44.0,12.2,39.0,31100,38,9870,1112,0.15,0.05,25.8,1.1,450000.0,2.09,10550,0.5,0.14,0.197,201,31,58000.0,0.5,3320,0.7,51,74
28300,0.2,3.6,103.0,0.9,0.26,11570.0,0.5,40.0,11.4,36.0,29500,36,9240,1095,0.13,0.1,24.4,10.0,430000.0,2.16,9720,0.5,0.15,0.221,179,32,56000.0,0.5,3220,0.8,46,69
16400,0.4,51.0,69.7,0.7,0.39,12310.0,0.5,25.0,9.5,304.0,33500,107,7310,694,0.12,2.9,20.2,7.1,480000.0,1.06,1914,1.0,0.23,0.075,174,19,88000.0,0.5,3830,2.3,47,255
14310,0.4,13.3,57.0,0.7,0.45,9790.0,0.5,25.0,9.0,438.0,29200,121,6740,724,0.1,1.5,20.7,6.1,480000.0,1.18,1953,0.9,0.24,0.199,159,19,80000.0,0.5,3570,1.3,40,286
13760,0.2,15.3,53.0,0.7,0.32,10770.0,0.5,26.0,9.2,384.0,29600,114,7200,752,0.12,2.2,20.8,7.2,460000.0,1.2,1988,0.8,0.24,0.179,145,18,66000.0,0.5,3840,1.5,41,264
13540,0.17,0.8,102.0,0.4,0.13,3740.0,0.5,25.0,6.5,10.0,15560,23,3080,387,0.0,0.05,10.4,5.0,220000.0,1.55,1698,0.13,0.11,0.162,195,23,31000.0,0.5,2960,0.6,31,62
12880,0.06,1.2,97.7,0.5,0.15,4370.0,0.5,22.0,5.6,4.9,11680,22,3060,377,0.03,0.05,8.9,5.0,250000.0,0.86,1780,0.14,0.14,0.15,136,28,37000.0,0.5,3240,1.3,28,69
12160,0.05,1.2,91.1,0.5,0.16,3930.0,0.5,21.0,5.6,4.2,16330,20,2780,373,0.04,0.05,8.5,5.0,220000.0,0.81,1650,0.1,0.08,0.126,123,31,40000.0,0.5,3050,1.2,27,59
24100,0.16,3.4,74.6,0.6,0.6,5000.0,0.5,12.0,3.3,11.0,13170,35,1644,4160,0.18,0.05,6.1,15.0,400000.0,0.76,1059,0.6,0.13,0.02,32,7,36000.0,0.5,2300,0.8,30,89
10210,0.0,2.5,93.7,0.6,0.7,5120.0,0.5,14.0,3.7,9.0,16080,30,1587,5140,0.18,0.4,6.4,10.0,430000.0,0.71,996,0.8,0.15,0.144,19,7,52000.0,0.5,2330,1.7,33,85
10400,0.05,2.4,86.0,0.5,0.65,4630.0,0.5,13.0,3.5,8.0,15280,28,1513,4660,0.18,0.4,6.0,10.0,430000.0,0.75,990,0.4,0.22,0.138,19,7,53000.0,0.5,2230,1.6,33,81
23600,0.2,1.6,331.0,0.7,0.28,7740.0,0.5,38.0,8.4,23.0,21100,36,5380,389,0.0,0.05,16.3,10.0,350000.0,1.49,3240,0.4,0.24,0.126,630,28,41000.0,0.5,2960,1.4,47,87
24100,0.1,1.6,275.0,0.8,0.38,9310.0,0.5,34.0,8.0,17.0,24400,33,6500,417,0.14,0.05,15.5,10.0,380000.0,1.37,3190,0.4,0.24,0.272,320,27,54000.0,0.5,3080,1.9,45,92
14530,0.2,2.4,83.3,0.6,0.18,5930.0,0.5,20.0,5.8,8.0,18880,24,3740,896,0.06,0.06,8.2,5.0,270000.0,0.91,2000,0.11,0.17,0.02,186,18,40000.0,0.5,2680,0.7,38,49
13780,0.6,2.6,94.6,0.6,0.25,8250.0,0.5,22.0,6.3,6.0,20200,23,4320,912,0.06,0.17,9.8,5.0,280000.0,0.85,2260,0.2,0.15,0.156,207,20,38000.0,1.5,2900,1.3,39,48
14050,0.4,2.6,95.5,0.6,0.22,7560.0,0.5,23.0,6.3,8.0,20400,22,4670,1096,0.07,0.05,9.6,5.0,270000.0,0.88,2280,0.2,0.18,0.147,201,19,45000.0,0.5,2860,1.5,39,48
9480,0.11,0.5,56.0,0.5,0.11,14510.0,0.5,17.0,7.9,7.0,17210,15,6570,387,0.0,0.05,8.6,5.0,110000.0,0.91,1088,0.13,0.09,0.83,449,26,22000.0,0.5,3620,0.7,38,41
12960,0.3,5.8,44.3,0.5,0.16,59100.0,0.5,19.0,5.9,13.0,17860,13,17110,529,0.04,0.05,9.8,3.3,200000.0,0.63,2580,0.3,0.11,0.154,199,190,54000.0,0.5,2470,0.6,26,42
12190,0.12,4.4,45.1,0.5,0.16,30100.0,0.5,17.0,5.6,14.0,14880,18,10700,333,0.04,0.9,11.2,7.0,170000.0,0.55,2290,0.3,0.12,0.035,176,36,65000.0,0.5,2110,1.1,25,43
9470,0.3,2.7,50.9,0.4,0.36,44400.0,0.5,15.0,4.6,16.0,16300,51,11040,594,0.1,0.05,8.1,5.7,240000.0,0.88,1899,0.4,0.21,0.184,170,47,53000.0,0.5,2690,0.8,23,69
21500,0.05,4.8,88.5,0.8,0.38,9680.0,0.5,31.0,8.8,20.0,22800,30,6010,361,0.06,0.05,18.1,0.4,300000.0,0.75,3770,0.5,0.04,0.117,151,22,26000.0,0.5,4710,1.2,41,76
19530,0.2,3.5,73.6,0.6,0.29,14860.0,0.5,37.0,8.3,14.0,24100,18,8860,612,0.05,0.05,13.3,13.6,230000.0,0.71,2760,0.5,0.12,0.22,338,23,26000.0,0.5,3390,1.9,43,67
10010,0.05,2.1,30.0,0.2,0.2,2180.0,0.5,12.0,4.0,5.0,15600,16,1613,275,0.05,0.05,5.8,5.9,130000.0,0.38,788,0.2,0.07,0.15,93,9,35000.0,0.5,3300,0.6,23,45
8640,0.2,2.9,54.2,0.4,0.31,5150.0,0.5,14.0,4.1,13.0,16110,51,2230,566,0.06,0.05,6.9,25.8,290000.0,0.63,674,0.4,0.16,0.117,83,16,49000.0,0.5,3810,0.7,28,83
2960,0.3,6.8,51.8,0.3,1.19,20300.0,0.5,8.0,1.7,21.0,3670,54,3630,293,0.31,0.8,6.1,52.2,1610000.0,1.14,576,3.2,0.03,0.38,144,42,12000.0,0.5,865,1.8,11,114
15400,0.2,12.4,66.1,0.5,0.3,29200.0,0.5,18.0,8.3,64.0,26300,31,11380,1356,0.08,0.6,11.4,16.2,300000.0,0.97,2700,0.3,0.13,0.093,134,27,30000.0,0.5,3270,0.8,28,66
10390,0.15,2.8,128.0,0.3,0.42,50100.0,0.5,14.0,8.2,8.0,24500,15,2540,645,0.07,0.8,5.2,21.2,290000.0,0.81,928,0.3,0.02,0.074,239,18,37000.0,0.5,6610,0.8,46,83
15120,0.05,1.8,77.5,0.6,0.15,7890.0,0.5,24.0,8.2,14.0,19660,12,4140,432,0.09,0.05,12.6,17.0,210000.0,0.78,2910,0.3,0.06,0.237,521,22,31000.0,0.5,3090,0.8,40,52
12060,0.2,5.2,35.6,0.4,0.09,2700.0,0.5,19.0,6.6,13.0,18520,28,2490,284,0.05,0.05,9.3,2.8,100000.0,0.65,1694,0.2,0.08,0.309,173,12,29000.0,0.5,3890,1.4,36,44
18970,0.2,4.5,86.6,0.1,0.22,7090.0,0.5,23.0,4.2,12.0,20900,17,4650,682,0.05,0.3,13.4,15.0,500000.0,2.14,4270,0.2,0.17,0.053,122,29,47000.0,1.9,3210,1.5,33,62
25200,0.05,1.8,283.0,0.8,0.36,9620.0,0.5,35.0,8.1,17.0,24800,38,6780,422,0.15,0.05,15.8,10.0,400000.0,1.46,3480,0.4,0.14,0.251,339,28,52000.0,0.5,3100,1.6,46,91
15740,0.05,2.0,216.0,0.5,0.45,4760.0,0.5,22.0,9.0,10.0,30400,30,3950,1918,0.09,0.05,11.1,5.0,420000.0,1.16,1055,0.4,0.2,0.163,287,22,38000.0,0.5,3290,1.2,48,102
19200,0.05,2.4,94.3,0.5,0.21,12200.0,0.5,27.0,8.8,11.0,21200,18,6470,452,0.07,0.05,10.9,3.9,90000.0,0.83,3200,0.17,0.17,0.16,340,28,71000.0,0.5,3700,0.8,39,54
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0
8390,0.2,1.1,33.6,0.2,0.18,17340.0,0.5,33.0,5.7,11.0,11120,9,4210,209,0.05,1.2,18.0,36.6,640000.0,0.57,811,0.4,0.14,0.642,161,62,38000.0,0.5,1780,1.6,24,34
15790,0.09,8.9,76.4,0.5,0.22,6530.0,0.5,38.0,11.2,29.0,20400,21,5520,652,0.0,3.9,21.7,1.0,290000.0,1.01,1060,0.4,0.12,0.401,661,35,38000.0,1.6,3000,7.0,56,55
10460,0.2,1.1,40.1,0.4,0.15,4420.0,0.5,18.0,4.1,22.0,9720,15,2470,107,0.05,0.05,9.4,2.3,350000.0,1.17,1150,0.3,0.06,0.142,483,29,39000.0,0.9,1760,1.6,22,32
12210,0.5,4.4,89.9,0.4,0.81,8340.0,0.5,43.0,7.2,24.0,22900,42,3780,489,0.1,0.3,17.2,30.4,640000.0,0.79,1072,0.65,0.05,0.23,117,31,60000.0,0.5,3100,0.7,50,97
16550,0.05,1.3,82.9,0.2,0.15,6020.0,0.5,35.0,13.5,19.0,26500,17,3980,510,0.02,0.05,28.4,21.0,220000.0,0.85,949,0.14,0.02,0.04,801,22,37000.0,0.5,3860,0.5,103,74
20600,0.05,2.4,113.0,0.5,0.2,6910.0,0.5,48.0,15.5,40.0,25000,19,8180,1139,0.06,0.05,24.6,0.9,190000.0,0.62,2960,0.3,0.09,0.379,345,37,15000.0,1.0,3200,0.6,55,119
17230,0.05,0.9,43.5,0.4,0.06,6770.0,0.5,26.0,10.2,19.0,19510,8,4440,194,0.02,0.05,20.3,0.6,110000.0,0.66,658,0.2,0.02,0.154,1287,25,11000.0,0.5,3910,0.5,74,29
19310,0.05,1.0,45.3,0.3,0.05,7860.0,0.5,29.0,11.7,19.0,22300,8,5040,228,0.02,0.05,21.5,0.8,110000.0,0.64,718,0.3,0.02,0.134,1548,30,16000.0,0.5,2450,0.5,80,31
21300,0.05,1.0,48.5,0.3,0.04,9560.0,0.5,33.0,13.3,18.0,23100,9,6520,274,0.02,0.05,23.4,1.0,100000.0,0.65,859,0.13,0.02,0.162,1983,36,15000.0,0.5,3970,0.6,83,33
7810,0.05,1.6,51.4,0.2,0.1,3740.0,0.5,17.0,4.4,6.0,8650,9,2320,383,0.02,0.05,6.8,0.1,100000.0,0.26,1066,0.11,0.02,0.174,126,23,40000.0,0.5,1470,0.4,16,40
6370,0.05,1.8,51.2,0.2,0.12,3480.0,0.5,15.0,4.3,8.0,8210,10,1992,370,0.02,0.05,6.3,0.1,120000.0,0.27,948,0.12,0.02,0.35,101,19,46000.0,0.5,1480,0.4,17,39
8420,0.05,1.8,53.1,0.3,0.08,4440.0,0.5,21.0,6.2,17.0,10370,12,2900,503,0.03,0.14,9.0,0.1,130000.0,0.32,1287,0.16,0.15,0.28,126,23,47000.0,0.5,1430,0.6,23,54
15810,0.05,2.7,71.7,0.5,0.23,3670.0,0.5,23.0,7.0,9.0,21500,16,3170,743,0.05,0.05,8.0,1.8,170000.0,0.55,1337,0.3,0.02,0.077,220,18,45000.0,0.5,3420,1.0,38,42
26800,0.05,3.1,156.0,0.8,0.41,3880.0,0.5,30.0,8.7,20.0,22500,50,4580,856,0.15,0.18,14.4,21.9,370000.0,1.11,4020,0.5,0.03,0.65,135,22,46000.0,0.5,3660,1.2,48,130
25000,0.05,3.6,144.0,0.7,0.4,3730.0,0.5,27.0,8.6,16.0,20800,49,4040,797,0.14,0.11,13.0,18.7,360000.0,0.98,3840,0.6,0.05,0.55,117,21,51000.0,0.5,3500,1.1,45,102
29200,0.4,2.8,146.0,0.8,0.37,3980.0,0.5,31.0,8.9,17.0,21800,53,4690,796,0.15,0.11,14.0,19.2,370000.0,1.06,4790,0.5,0.04,0.61,141,22,37000.0,0.5,3430,1.3,51,106
13110,0.18,3.8,90.5,0.4,0.18,6630.0,0.5,23.0,5.7,13.0,17510,19,4110,347,0.08,0.17,8.9,27.9,280000.0,1.05,2060,0.2,0.02,0.062,292,16,61000.0,0.5,2560,1.0,32,47
13000,0.3,3.7,91.2,0.4,0.16,6430.0,0.5,24.0,5.8,13.0,17600,19,4080,350,0.07,0.08,8.8,24.9,270000.0,1.03,2140,0.2,0.04,0.061,301,19,68000.0,0.7,2560,1.1,32,47
11590,0.2,4.1,81.4,0.5,0.18,5930.0,0.5,23.0,5.2,11.0,15910,19,3520,303,0.08,0.12,7.8,29.1,270000.0,1.11,1795,0.3,0.11,0.059,258,17,59000.0,0.5,2370,1.2,28,43
7910,0.4,2.7,29.6,0.2,0.22,102000.0,0.5,12.0,3.1,8.0,14000,28,3760,194,0.07,0.05,4.4,19.2,340000.0,0.97,1660,0.09,0.09,0.17,203,124,83000.0,0.5,2420,1.0,17,43
7060,0.3,3.1,26.5,0.3,0.23,108000.0,0.5,11.0,2.8,12.0,13200,33,3930,189,0.08,0.05,4.8,19.1,330000.0,0.93,1660,0.2,0.2,0.18,216,123,86000.0,0.5,2170,1.1,16,45
7800,0.3,2.7,27.0,0.2,0.26,121000.0,0.5,10.0,2.7,18.0,13800,35,4020,197,0.18,0.05,5.0,14.5,360000.0,0.89,1790,0.19,0.19,0.24,226,128,77000.0,0.5,2360,1.2,16,46
18300,0.3,2.3,105.0,0.5,0.18,11800.0,0.5,28.0,9.2,15.0,20200,19,6270,497,0.07,0.05,12.2,3.4,90000.0,0.98,3300,0.09,0.09,0.17,282,27,74000.0,0.5,3240,0.7,36,55
19500,0.15,2.4,110.0,0.5,0.21,11400.0,0.5,29.0,9.9,12.0,21200,19,6690,502,0.11,0.05,12.5,4.0,80000.0,0.79,3370,0.11,0.11,0.1,282,26,78000.0,0.5,3960,0.7,38,60
12260,0.05,1.8,35.6,0.5,0.16,4840.0,0.5,17.0,4.6,7.0,12400,17,2600,387,0.06,0.05,6.9,11.6,170000.0,0.58,1814,0.3,0.17,0.044,157,17,53000.0,0.5,2500,0.5,24,61
12720,0.05,2.1,35.1,0.5,0.21,5140.0,0.5,18.0,4.8,6.0,12870,17,2650,388,0.06,0.05,7.1,13.0,170000.0,0.66,2080,0.3,0.14,0.049,131,17,50000.0,0.5,2120,0.5,25,61
11980,0.05,1.6,34.9,0.5,0.19,4700.0,0.5,20.0,4.8,8.0,12870,17,2650,372,0.06,0.05,7.7,13.7,160000.0,0.61,1850,0.3,0.14,0.062,201,18,41000.0,0.8,2610,0.7,26,57
9050,0.05,1.0,33.2,0.2,0.12,3270.0,0.5,15.0,4.0,6.0,13730,14,2020,181,0.02,0.3,6.3,3.0,160000.0,0.77,890,0.2,0.12,0.116,181,10,55000.0,0.5,3810,0.8,24,35
10280,0.05,1.3,34.9,0.3,0.09,3810.0,0.5,16.0,4.9,5.0,15830,13,2270,225,0.02,0.11,6.0,1.5,710000.0,0.77,1015,0.2,0.09,0.106,279,13,54000.0,0.5,3360,0.9,28,38
9570,0.12,1.2,35.6,0.3,0.11,3730.0,0.5,15.0,4.4,5.0,14600,13,2160,183,0.02,0.05,5.9,3.3,160000.0,0.73,960,0.2,0.12,0.106,205,12,50000.0,0.5,3320,0.7,26,38
8390,0.3,6.7,215.0,0.2,0.42,3440.0,0.5,14.0,6.0,7.0,21300,27,1905,1929,0.09,0.16,5.6,0.1,290000.0,0.76,870,0.6,0.19,0.075,154,17,56000.0,0.5,4100,0.7,35,66
7780,0.2,3.2,106.0,0.2,0.24,2950.0,0.5,19.0,6.4,9.0,21600,19,2280,947,0.07,0.2,6.8,0.1,230000.0,0.77,1030,0.4,0.15,0.092,166,12,56000.0,0.5,4580,0.7,37,47
8130,0.3,3.1,150.0,0.2,0.39,3230.0,0.5,14.0,6.2,8.0,21400,28,1945,1585,0.09,0.18,5.6,1.6,310000.0,0.71,856,0.6,0.21,0.085,166,14,48000.0,0.5,4330,0.8,36,61
18500,0.05,1.1,175.0,0.9,0.27,14540.0,0.5,56.0,16.0,30.0,38200,17,14370,938,0.05,0.05,22.0,1.4,260000.0,1.08,7720,0.4,0.32,0.158,1115,44,75000.0,0.7,3990,1.2,73,113
18200,0.05,0.7,179.0,0.9,0.27,14510.0,0.5,57.0,16.2,29.0,38000,18,14680,968,0.05,0.05,22.7,1.0,240000.0,1.19,8050,0.4,0.29,0.132,1073,44,70000.0,0.5,4280,1.4,74,113
18000,0.05,1.0,179.0,0.9,0.23,13580.0,0.5,67.0,16.6,40.0,38400,17,14220,945,0.04,0.05,27.6,1.8,250000.0,1.13,7910,0.4,0.28,0.133,1075,44,82000.0,0.5,4210,1.3,73,110
16640,0.05,1.0,91.3,0.6,0.14,9640.0,0.5,27.0,9.8,16.0,35100,18,5400,1499,0.05,0.05,14.4,20.9,240000.0,1.07,1610,0.3,0.21,0.044,391,72,55000.0,0.5,4620,1.0,49,68
16720,0.05,0.8,92.3,0.7,0.12,9090.0,0.5,24.0,10.8,16.0,34200,20,4760,1476,0.05,0.3,12.6,12.4,240000.0,1.9,1663,0.3,0.18,0.044,415,67,69000.0,0.5,4680,0.9,49,69
16490,0.05,1.1,93.5,0.7,0.15,9220.0,0.5,23.0,9.6,15.0,34800,20,4740,1490,0.05,0.07,12.2,18.1,260000.0,1.98,1753,0.3,0.15,0.074,411,72,63000.0,0.5,4980,0.8,48,74
11730,0.05,1.2,91.0,0.3,0.33,3920.0,0.5,23.0,7.3,13.0,32600,19,2870,801,0.08,0.05,8.7,0.1,300000.0,1.17,775,0.4,0.22,0.107,281,18,86000.0,0.5,7230,0.4,74,79
12710,0.05,1.1,102.0,0.4,0.38,4390.0,0.5,25.0,8.3,12.0,32600,21,3020,905,0.08,0.05,8.6,0.1,300000.0,1.19,866,0.4,0.17,0.104,300,18,39000.0,0.5,7420,0.4,72,87
11410,0.05,1.4,103.0,0.4,0.38,4850.0,0.5,25.0,9.0,11.0,32700,21,2990,1023,0.08,0.05,8.9,0.2,300000.0,1.12,916,0.4,0.15,0.093,331,19,54000.0,0.5,7350,0.4,78,84
5430,0.05,0.9,21.2,0.1,0.16,2550.0,0.5,8.0,0.2,1.0,7490,18,1190,110,0.03,0.5,5.6,0.5,160000.0,0.46,428,0.2,0.08,0.201,103,16,26000.0,0.5,3440,1.3,9,22
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0
16670,0.05,1.0,60.5,0.1,0.13,2440.0,0.5,27.0,4.0,0.9,17190,7,3860,587,0.03,0.18,14.3,5.0,150000.0,0.59,746,0.4,0.15,0.433,126,21,22000.0,0.5,2230,1.9,39,52
24700,0.15,1.8,82.7,0.8,0.23,3480.0,0.5,49.0,14.5,13.0,22500,14,4630,1466,0.11,0.3,22.8,5.0,270000.0,1.03,1636,0.8,0.37,0.776,196,31,32000.0,0.5,2390,2.6,48,75
17870,0.15,1.6,68.4,0.6,0.25,3220.0,0.5,34.0,7.2,7.0,20500,12,3100,772,0.08,0.05,16.7,5.0,220000.0,0.78,1297,0.6,0.25,0.485,149,31,25000.0,0.5,2770,1.9,39,65
9070,0.4,1.3,27.9,0.1,0.15,2560.0,0.5,22.0,0.5,0.1,11110,7,2770,138,0.04,0.3,13.2,5.0,160000.0,0.43,460,0.3,0.13,0.315,112,16,33000.0,1.5,2920,1.8,35,19
10430,0.5,2.0,33.8,0.3,0.15,3220.0,0.5,30.0,4.7,4.0,12150,9,2560,144,0.06,0.05,15.2,5.0,190000.0,0.52,594,0.4,0.06,0.376,164,26,32000.0,0.5,2700,1.6,29,24
11360,0.4,2.0,30.5,0.3,0.14,3520.0,0.5,34.0,5.5,5.0,14040,9,3140,160,0.08,0.05,17.3,5.0,190000.0,0.54,577,0.2,0.06,0.589,173,26,34000.0,0.6,2890,1.7,34,25
24300,0.3,0.5,140.0,0.1,0.1,16630.0,0.5,70.0,12.1,29.0,32900,13,16200,518,0.01,0.05,56.8,10.0,150000.0,0.56,4120,0.11,0.13,0.046,545,35,20000.0,0.5,2770,1.5,70,51
27400,0.2,2.6,132.0,0.8,0.09,16630.0,0.5,86.0,16.6,44.0,37000,15,14850,512,0.02,0.05,56.6,10.0,150000.0,0.62,4340,0.13,0.09,0.161,600,52,18000.0,0.5,2760,1.5,58,56
25900,0.4,2.4,128.0,0.8,0.1,17780.0,0.5,81.0,16.0,50.0,36000,13,14890,489,0.02,0.05,53.0,5.0,140000.0,0.62,4200,0.13,0.08,0.16,623,53,18000.0,0.5,2670,1.5,55,54
14480,0.3,1.8,42.2,0.1,0.19,4660.0,0.5,33.0,4.9,6.0,18920,16,4470,222,0.03,0.05,24.0,10.0,110000.0,0.37,867,0.3,0.05,0.092,194,20,22000.0,0.5,2490,1.4,47,70
14550,0.4,1.8,34.2,0.4,0.1,4920.0,0.5,38.0,8.7,7.0,18940,10,3900,211,0.03,0.05,23.2,5.0,70000.0,0.31,758,0.2,0.08,0.21,218,33,9000.0,0.5,2320,1.3,40,37
13370,0.6,1.6,43.3,0.4,0.25,4910.0,0.5,37.0,8.5,12.0,17870,19,3990,213,0.04,0.05,30.9,10.0,90000.0,0.37,713,0.4,0.09,0.218,204,28,13000.0,0.5,2450,1.3,37,118
8510,0.3,2.2,52.2,0.4,0.16,1539.0,0.5,18.0,7.7,17.0,29200,25,1414,188,0.0,0.05,5.2,30.0,270000.0,0.42,546,0.7,0.11,0.382,135,8,26000.0,0.6,4520,0.5,64,32
7370,0.05,2.2,49.0,0.3,0.17,1434.0,0.5,17.0,6.3,4.0,25600,21,1207,174,0.07,0.05,5.3,30.0,250000.0,0.33,560,0.6,0.15,0.307,135,9,33000.0,0.5,5060,1.2,68,26
11210,0.09,2.4,58.2,0.5,0.23,2170.0,0.5,23.0,13.9,5.0,30100,23,2130,320,0.06,0.05,8.1,35.0,300000.0,0.49,760,0.6,0.18,0.36,229,9,40000.0,0.5,4980,1.4,69,35
10990,0.05,0.4,77.8,0.3,0.07,2490.0,0.5,19.0,3.2,8.0,8510,11,1527,85,0.0,0.12,8.5,5.0,180000.0,0.67,958,0.18,0.1,0.625,109,18,31000.0,1.3,2290,0.8,11,24
14300,0.12,0.8,82.4,0.5,0.12,2540.0,0.5,26.0,3.7,5.0,10480,12,1697,96,0.07,0.17,10.5,5.0,190000.0,1.61,1270,0.15,0.11,0.57,140,22,39000.0,0.5,2800,1.7,18,26
9200,0.05,0.8,59.2,0.3,0.1,2240.0,0.5,19.0,2.9,2.0,7160,8,1212,89,0.06,0.05,7.7,5.0,140000.0,0.45,816,0.05,0.09,0.457,115,19,29000.0,1.8,2320,1.5,14,19
51800,0.17,3.7,85.0,1.8,0.12,1785.0,0.5,45.0,6.7,21.0,57200,38,2580,147,0.2,2.8,12.3,0.5,100000.0,2.2,878,0.9,0.09,0.483,159,14,46000.0,0.5,3340,1.6,57,114
2600,0.3,2.1,33.9,0.1,0.14,666.0,0.5,3.0,1.1,12.0,6980,26,228,107,0.03,0.6,7.0,0.5,130000.0,0.26,280,0.4,0.04,0.479,31,2,19000.0,0.5,4730,1.4,5,20
9620,0.4,3.1,42.1,0.3,0.21,1003.0,0.5,10.0,1.8,17.0,11080,38,497,109,0.06,1.1,5.6,0.6,210000.0,0.7,459,0.8,0.07,0.572,71,7,36000.0,0.5,4600,1.9,14,33
5880,0.17,1.5,41.5,0.2,0.14,1778.0,0.5,16.0,3.7,11.0,10130,22,863,208,0.07,0.2,5.1,28.0,220000.0,0.41,535,0.4,0.13,0.24,66,23,28000.0,0.5,3180,0.5,29,24
7710,0.08,1.9,44.6,0.2,0.13,2370.0,0.5,17.0,4.3,10.0,11880,20,869,144,0.06,0.09,6.7,25.0,210000.0,0.35,644,0.4,0.07,0.358,84,33,30000.0,0.5,3360,1.2,31,24
6530,0.3,2.2,43.0,0.1,0.23,1903.0,0.5,16.0,3.8,10.0,12210,21,748,158,0.06,0.2,5.2,24.0,190000.0,0.32,502,0.5,0.07,0.33,78,24,26000.0,0.5,3250,1.2,28,25
12850,0.2,6.1,51.4,0.3,0.18,2680.0,0.5,29.0,5.2,27.0,17390,35,1933,185,0.0,0.18,29.3,0.9,220000.0,0.38,710,0.5,0.13,0.268,161,26,17000.0,1.0,2960,0.5,39,35
12280,0.3,4.0,32.2,0.2,0.11,2240.0,0.5,28.0,5.5,26.0,16210,19,1824,143,0.06,0.05,20.3,0.5,150000.0,0.31,512,0.6,0.14,0.388,75,23,21000.0,0.5,3580,1.2,37,34
14350,0.2,3.6,40.0,0.2,0.12,3460.0,0.5,30.0,6.0,19.0,16940,21,1927,173,0.06,0.05,19.3,0.6,150000.0,0.29,735,0.6,0.1,0.34,101,37,18000.0,0.5,3200,1.3,42,31
