Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
17390,0.05,3.8,79.2,0.8,0.39,14580.0,0.5,28.0,8.2,24.0,21300,24,9290,198,0.03,0.5,22.4,3.4,320000.0,0.76,4410,0.6,0.6,0.084,119,30,50000.0,0.5,3240,1.5,34,77
16350,0.05,3.8,65.3,0.6,0.19,58300.0,0.5,23.0,7.0,17.0,20100,19,23000,352,0.05,0.8,17.5,5.1,270000.0,0.56,4240,0.3,0.26,0.075,114,47,49000.0,0.5,2030,1.0,28,52
15120,0.3,3.7,64.2,0.6,0.18,53600.0,1.0,23.0,6.9,18.0,19130,19,21700,343,0.05,0.8,16.9,5.3,270000.0,0.56,4340,0.3,0.25,0.047,117,44,39000.0,0.5,2170,1.0,28,51
17920,0.05,3.6,68.9,0.6,0.24,53900.0,1.5,24.0,6.9,16.0,19250,19,21600,336,0.06,0.9,16.1,5.5,270000.0,0.56,4910,0.2,0.23,0.085,132,45,52000.0,0.5,2070,1.0,30,50
18160,0.05,3.5,71.2,0.7,0.57,14150.0,0.5,26.0,5.6,28.0,18160,37,8110,166,0.11,0.3,18.1,3.5,400000.0,0.67,4170,0.7,0.26,0.107,86,23,54000.0,0.5,2030,1.2,34,81
17060,0.05,3.4,70.4,0.7,0.5,15190.0,0.5,25.0,5.6,28.0,17620,37,8140,163,0.12,0.3,18.1,3.6,380000.0,0.63,4030,0.7,0.2,0.158,89,23,57000.0,0.5,1980,1.1,34,81
16850,0.05,3.4,67.0,0.7,0.52,20400.0,0.5,24.0,5.2,28.0,16760,36,8970,164,0.1,0.3,17.1,3.3,370000.0,0.65,4030,0.6,0.21,0.154,97,27,66000.0,0.5,1780,0.9,32,78
16160,0.05,4.8,80.0,0.6,0.39,5590.0,0.5,22.0,9.4,20.0,21500,29,3090,1006,0.09,0.7,17.0,5.6,260000.0,0.61,2210,0.5,0.17,0.066,67,16,28000.0,0.5,3030,0.7,29,81
16980,0.05,4.7,75.8,0.6,0.36,5730.0,0.5,24.0,9.8,19.0,22300,28,3150,945,0.09,0.7,17.6,6.6,240000.0,0.55,2250,0.5,0.19,0.102,65,16,35000.0,0.5,3060,0.8,30,82
15730,0.05,4.6,73.1,0.5,0.36,5270.0,0.5,25.0,9.5,22.0,21300,30,3040,871,0.09,1.0,18.6,6.2,260000.0,0.59,2060,0.4,0.3,0.104,63,16,40000.0,0.5,3170,0.8,29,81
16890,0.12,2.2,64.0,0.6,0.25,5640.0,0.5,23.0,5.7,16.0,16090,16,4240,188,0.06,0.2,14.2,5.0,280000.0,0.62,3300,0.3,0.07,0.085,70,15,44000.0,0.5,2120,1.3,29,46
18900,0.1,2.4,74.5,0.7,0.26,6070.0,0.5,28.0,6.3,20.0,17440,17,4700,226,0.06,0.2,15.7,4.7,280000.0,0.61,3690,0.5,0.08,0.094,76,19,41000.0,0.5,2180,1.3,31,50
17840,0.3,2.3,72.5,0.6,0.26,5950.0,0.5,27.0,6.0,19.0,16990,16,5120,220,0.06,0.12,15.8,5.4,260000.0,0.62,3570,0.4,0.2,0.081,71,18,45000.0,0.5,2180,1.4,30,49
13890,0.3,7.4,53.0,0.4,0.27,5330.0,0.5,21.0,5.9,11.0,17010,22,3430,645,0.08,0.4,10.3,7.6,240000.0,0.39,1359,0.4,0.1,0.071,99,17,34000.0,0.5,2470,0.3,36,59
13540,0.05,3.9,54.2,0.4,0.29,4280.0,0.5,20.0,6.0,11.0,15780,21,2980,659,0.09,0.1,10.2,6.7,240000.0,0.4,1327,0.7,0.06,0.131,87,14,31000.0,0.5,2910,0.7,34,63
13450,0.05,4.4,60.0,0.4,0.27,4430.0,0.5,20.0,6.5,13.0,15020,21,3200,739,0.1,0.1,11.1,7.9,240000.0,0.39,1430,0.7,0.05,0.139,88,14,26000.0,0.5,2850,0.7,35,60
9400,0.18,2.8,50.5,0.4,0.33,43700.0,0.5,15.0,4.4,16.0,16320,49,10950,588,0.11,0.07,8.0,4.8,250000.0,0.9,1811,0.4,0.19,0.177,171,47,48000.0,0.5,3020,0.7,23,68
9710,0.1,2.9,53.4,0.4,0.35,44600.0,0.5,16.0,4.6,17.0,17470,72,10840,614,0.1,0.05,8.1,5.9,240000.0,0.89,2080,0.4,0.22,0.171,180,47,56000.0,0.5,3200,0.6,24,69
13590,0.05,3.4,74.3,0.5,0.51,33300.0,0.5,24.0,6.3,12.0,22100,19,16890,1088,0.1,0.05,10.3,21.0,400000.0,0.8,1943,0.6,0.03,0.02,123,75,35000.0,0.5,2350,1.4,35,76
12480,0.3,2.9,70.6,0.4,0.47,33700.0,0.5,23.0,6.1,12.0,20900,18,17650,1002,0.09,0.05,10.0,18.6,400000.0,0.79,1948,0.5,0.02,0.025,126,83,27000.0,0.5,2280,1.3,33,72
13050,0.2,4.0,74.0,0.5,0.5,35100.0,0.5,24.0,6.1,12.0,22200,19,18060,1082,0.09,0.05,9.7,24.6,420000.0,0.82,1927,0.6,0.02,0.032,119,100,43000.0,0.5,2540,1.3,35,73
10290,0.05,3.2,43.0,0.3,0.27,6090.0,0.5,17.0,4.3,7.0,15880,19,3500,224,0.05,0.2,7.7,0.3,180000.0,0.22,859,0.4,0.06,0.188,52,12,3000.0,0.5,3580,0.6,32,39
10140,0.3,3.8,42.7,0.2,0.28,5100.0,0.5,18.0,4.2,6.0,15390,19,2840,220,0.05,0.06,8.2,18.5,190000.0,0.22,848,0.4,0.08,0.135,51,13,17000.0,0.5,2070,0.6,31,39
10560,0.1,3.9,42.7,0.3,0.25,4360.0,0.5,18.0,4.2,6.0,16020,18,2570,257,0.05,0.17,8.1,18.7,180000.0,0.21,856,0.4,0.03,0.144,51,12,3000.0,0.5,2210,0.5,31,40
13160,0.2,3.2,51.8,0.5,0.32,4400.0,0.5,20.0,6.0,10.0,17690,22,2520,727,0.07,0.11,10.5,3.7,210000.0,0.56,1753,0.4,0.05,0.143,110,14,28000.0,0.6,3270,0.7,31,53
13740,0.2,3.6,53.3,0.5,0.33,4510.0,0.5,21.0,6.5,10.0,18220,22,2810,766,0.08,0.3,11.7,4.5,210000.0,0.59,1835,0.55,0.06,0.146,116,15,29000.0,0.5,3430,0.9,33,53
13200,0.05,3.2,54.0,0.5,0.33,4890.0,0.5,20.0,6.7,10.0,17590,23,2750,799,0.08,0.18,12.0,4.1,210000.0,0.62,1745,0.45,0.06,0.102,118,16,38000.0,0.5,3170,0.7,33,58
